latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Calidris alpina|Alpenstrandläufer|Correlimos Común|Lóuþræll|Almindelig Ryle|jespák obecný|suosirri|Piovanello pancianera|ハマシギ|Bonte Strandloper|Myrsnipe|biegus zmienny|Pilrito-comum|Чернозобик|pobrežník čiernozobý|Kärrsnäppa|黑腹滨鹬
Calidris ferruginea|Sichelstrandläufer|Correlimos Zarapitín|Spóatíta|Krumnæbbet Ryle|jespák křivozobý|kuovisirri|Pivonello comune|サルハマシギ|Krombekstrandloper|Tundrasnipe|biegus krzywodzioby|Pilrito-de-bico-comprido|Краснозобик|pobrežník krivozobý|Spovsnäppa|弯嘴滨鹬
Calidris himantopus|Bindenstrandläufer|Correlimos Zancolín|Vaðfæla|Klireryle|jespák dlouhonohý|pitkäkoipisirri|Piro-piro zampelunghe|アシナガシギ|Steltstrandloper|Styltesnipe|biegus brodzcowaty|Maçarico-pernilongo|Ходулочниковый песочник|pobrežník dlhonohý|Styltsnäppa|高跷鹬
Eurynorhynchus pygmeus|Löffelstrandläufer|Correlimos Cuchareta|Skeiðtíta|Skeryle|jespák lžícozobý|lusikkasirri|Gambecchio becco a spatola|ヘラシギ|Lepelbekstrandloper|Skjesnipe|biegus lyzkodzioby||Лопатень|lopatník malý|Skedsnäppa|勺嘴鹬
Limicola falcinellus|Sumpfläufer|Correlimos Falcinelo|Efjutíta|Kærløber|jespáček ploskozobý|jänkäsirriäinen|Gambecchio frullino|キリアイ|Breedbekstrandloper|Fjellmyrløper|biegus płaskodzioby|Pilrito-falcinelo|Грязовик|brehárik ploskozobý|Myrsnäppa|阔嘴鹬
Tryngites subruficollis|Grasläufer|Correlimos Canelo|Grastíta|Prærieløber|jespák plavý|tundravikla|Piro-piro fulvo|コモンシギ|Blonde Ruiter|Rustsnipe|biegus płowy|Pilrito-canela|Канадский песочник|pobrežník trávový|Prärielöpare|黄胸鹬
Philomachus pugnax|Kampfläufer|Combatiente|Rúkragi|Brushane|jespák bojovný|suokukko|Combattente|エリマキシギ|Kemphaan|Brushane|batalion|Combatente|Турухтан|bojovník bahenný|Brushane|流苏鹬
Limnodromus griseus|Kleiner Schlammläufer|Agujeta Gris|Snípuduðra|Kortnæbbet Sneppeklire|slukovec krátkozobý|rämekurppelo|Limnodromo beccocorto|アメリカオオハシシギ|Kleine Grijze Snip|Kortnebbekkasinsnipe|szlamiec krótkodzioby|Maçarico-de-costa-branca|Короткоклювый американский бекасовидный веретенник|brežník sivý|Kortnäbbad beckasinsnäppa|短嘴半蹼鹬
Limnodromus scolopaceus|Großer Schlammläufer|Agujeta Escolopácea|Kanaduðra|Langnæbbet Sneppeklire|slukovec dlouhozobý|tundrakurppelo|Limnodromo beccolungo|オオハシシギ|Grote Grijze Snip|Langnebbekkasinsnipe|szlamiec dlugodzioby|Maçarico-escolopáceo-americano|Длинноклювый американский бекасовидный веретенник|brežník dlhozobý|Långnäbbad beckasinsnäppa|长嘴半蹼鹬
Lymnocryptes minimus|Zwergschnepfe|Agachadiza Chica|Dvergsnípa|Enkeltbekkasin|slučka malá|jänkäkurppa|Frullino|コシギ|Bokje|Kvartbekkasin|bekasik|Narceja-galega|Гаршнеп|močiarnička tichá|Dvärgbeckasin|姬鹬
Gallinago media|Doppelschnepfe|Agachadiza Real|Heiðasnípa|Tredækker|bekasina větší|heinäkurppa|Croccolone|ヨアロッパジシギ|Poelsnip|Dobbeltbekkasin|dubelt|Narceja-real|Дупель|močiarnica tichá|Dubbelbeckasin|斑腹沙锥
Gallinago delicata|Amerikanische Bekassine|Becasina||Amerikansk Bekkasin||amerikantaivaanvuohi|Beccaccino di Wilson||Amerikaanse Watersnip|Indianerbekkasin|bekas amerykanski|Narceja-americana|Американский бекас|močiarnica krátkokrídla|Wilsonbeckasin|
Gallinago gallinago|Bekassine-gallinago|Agachadiza común|Hrossagaukur|Dobbeltbekkasin|bekasina otavní|heinäkurppa|Beccaccino|タシギ|Watersnip|Enkeltbekkasin|kszyk|Narceja-comum|Бекас|močiarnica mekotavá|Enkelbeckasin|扇尾沙锥
Gallinago stenura|Spießbekassine|Agachadiza Colirrara|Móasnípa|Sibirisk Bekkasin|bekasina sibiřská|suippopyrstökurppa|Beccacino strenuo|ハリオシギ|Stekelstaartsnip|Sibirbekkasin|bekas syberyjski||Азиатский бекас|močiarnica širokochvostá|Sibirisk beckasin|针尾沙锥
Gallinago megala|Waldbekassine|Agachadiza del Baikal|Holtasnípa|Tajgabekkeasin|bekasina lesní|siperiankurppa|Beccacino di Swinhoe|チュウジシギ|Siberische Snip|Bajkalbekkasin|bekas lesny|Narceja de Swinhoe|Лесной дупель|močiarnica bledá|Taigabeckasin|大沙锥
Scolopax rusticola|Waldschnepfe|Chocha Perdiz|Skógarsnípa|Skovsneppe|sluka lesní|lehtokurppa|Beccaccia eurasiatica|ヤマシギ|Houtsnip|Rugde|słonka|Galinhola|Вальдшнеп|sluka hôrna|Morkulla|丘鹬
Scolopax minor|Kanadaschnepfe|Chocha Americana||Amerikansk Skovsneppe|sluka americká|amerikanlehtokurppa|Beccaccia americana|アメリカヤマシギ|Amerikaanse Houtsnip|Amerikarugde|slonka amerykanska||Американский вальдшнеп|sluka svišťavá|Amerikansk morkulla|小丘鹬
Phalaropus tricolor|Wilsonwassertreter|Falaropo Tricolor|Freyshani|Amerikansk Svømmesneppe|lyskonoh dlouhozobý|amerikanvesipääsky|Falaropo di Wilson|アメリカヒレアシシギ|Grote Franjepoot|Hvithalesvømmesnipe|platkonóg trójbarwny|Falaropo de Wilson|Американский плавунчик|lyskonoh trojfarebný|Wilsonsimsnäppa|细嘴瓣蹼鹬
Phalaropus lobatus|Odinshühnchen|Falaropo Picofino|Óðinshani|Odinshane|lyskonoh úzkozobý|vesipääsky|Falaropo beccosottile|アカエリヒレアシシギ|Grauwe Franjepoot|Svømmesnipe|płatkonóg szydłodzioby|Falaropo-de-bico-fino|Круглоносый плавунчик|lyskonoh úzkozobý|Smalnäbbad simsnäppa|红颈瓣蹼鹬
Phalaropus fulicarius|Thorshühnchen|Falaropo Picogrueso|Þórshani|Thorshane|lyskonoh ploskozobý|isovesipääsky|Falaropo a beccolargo|ハイイロヒレアシシギ|Rosse Franjepoot|Polarsvømmesnipe|płatkonóg płaskodzioby|Falaropo-de-bico-grosso|Плосконосый плавунчик|lyskonoh ploskozobý|Brednäbbad simsnäppa|灰瓣蹼鹬
||||||||||||||||
Turnix sylvaticus|Laufhühnchen|Torillo Andaluz|Tindilfætla|Løbehøne|perepel malý|viiriäispyyjuoksija|Quaglia tridattila|ヒメミフウズラ|Gestreepte Vechtkwartel|Springvaktel|przepiórnik zwyczajny|Toirão|Африканская трёхперстка|prepeľovec krovinový|Springhöna|林三趾鹑
||||||||||||||||
Cursorius cursor|Rennvogel|Corredora Sahariana|Sandlápa|Ørkenløber|běhulík plavý|aavikkojuoksija|Corridore biondo|スナバシリ|Renvogel|Ørkenløper|raczak zwyczajny|Corredor|Бегунок|behavec plavý|Ökenlöpare|乳色走鸻
Glareola pratincola|Rotflügel-Brachschwalbe|Canastera Común|Þernutrítill|Rødvinget Braksvale|ouhorlík stepní|pääskykahlaaja|Pernice di mare comune|ニシツバメチドリ|Vorkstaartplevier|Brakksvale|żwirowiec łąkowy|Perdiz-do-mar|Луговая тиркушка|prieložník stepný|Rödvingad vadarsvala|领燕鸻
Glareola maldivarum|Orientbrachschwalbe|Canastera Oriental|Svölutrítill|Orientbraksvale|ouhorlík indomalajský|aasianpääskykahlaaja|Pernice di mare dal collare|ツバメチドリ|Oosterse Vorkstaartplevier|Orientbrakksvale|zwirowiec orientalny||Восточая тиркушка|prieložník olivový|Orientvadarsvala|普通燕鸻
Glareola nordmanni|Schwarzflügel-Brachschwalbe|Canastera Alinegra|Stepputrítill|Sortvinget Braksvale|ouhorlík černokřídlý|aropääskykahlaaja|Pernice di mare orientale|ハグロツバメチドリ|Steppevorkstaartplevier|Steppebrakksvale|żwirowiec stepowy|Perdiz-do-mar-d'asa-preta|Степная тиркушка|prieložník čiernokrídly|Svartvingad vadarsvala|黑翅燕鸻
||||||||||||||||
Rissa tridactyla|Dreizehenmöwe|Gaviota Tridáctila|Rita|Ride|racek tříprstý|pikkukajava|Gabbiano tridattilo|ミツユビカモメ|Drieteenmeeuw|Krykkje|mewa trójpalczasta|Gaivota-tridáctila|Обыкновенная моевка|čajka trojprstá|Tretåig mås|三趾鸥
Pagophila eburnea|Elfenbeinmöwe|Gaviota Marfileña|Ísmáfur|Ismåge|racek snéžní|jäälokki|Gabiano ebureno|ゾウゲカモメ|Ivoormeeuw|Ismåke|mewa modrodzioba|Gaivota-marfim|Белая чайка|čajka biela|Ismås|白鸥
Xema sabini|Schwalbenmöwe|Gaviota de Sabine|Þernumáfur|Sabinemåge|racek Sabinův|tiiralokki|Gabbiano di Sabine|クビワカモメ|Vorkstaartmeeuw|Sabinemåke|mewa obrożna|Gaivota de Sabine|Вилохвостая чайка|čajka vidlochvostá|Tärnmås|叉尾鸥
Chroicocephalus genei|Dünnschnabelmöwe|Gaviota Picofina|Bleikmáfur|Tyndnæbbet Måge|racek tenkozobý|kaitanokkalokki|Gabbiano roseo|ハシボソカモメ|Dunbekmeeuw|Smalnebbmåke|mewa cienkodzioba|Gaivota-de-bico-fino|Морской голубок|čajka tenkozobá|Långnäbbad mås|细嘴鸥
Chroicocephalus philadelphia|Bonapartemöwe|Gaviota de Bonaparte|Trjámáfur|Bonapartemåge|racek Bonapartův|kuusilokki|Gabbiano di Bonaparte|ボナパルトカモメ|Kleine Kokmeeuw|Kanadahettemåke|mewa kanadyjska|Gaivota de Bonaparte|Бонапартова чайка|čajka čiernozobá|Trädmås|博氏鸥
Chroicocephalus cirrocephalus|Graukopfmöwe|Gaviota Cabecigrís|Hærumáfur|Gråhovedet Måge|racek šedohlavý|harmaapäälokki|Gabbiano testagrigia|ズアオカモメ|Grijskopmeeuw|Gråhodemåke|mewa szaroglowa|Gaivota-de-cabeça-cinza|Сероголовая чайка|čajka sivohlavá|Gråhuvad mås|灰头鸥
Chroicocephalus ridibundus|Lachmöwe|Gaviota Reidora|Hettumáfur|Hættemåge|racek chechtavý|naurulokki|Gabbiano comune|ユリカモメ|Kokmeeuw|Hettemåke|śmieszka|Guincho-comum|Обыкновенная чайка|čajka smejivá|Skrattmås|红嘴鸥
Hydrocoloeus minutus|Zwergmöwe|Gaviota Enana|Dvergmáfur|Dværgmåge|racek malý|pikkulokki|Gabbianello|ヒメカモメ|Dwergmeeuw|Dvergmåke|mewa mała|Gaivota-pequena|Малая чайка|čajka malá|Dvärgmås|小鸥
Rhodostethia rosea|Rosenmöwe|Gaviota Rosada|Rósamáfur|Rosenmåge|racek růžový|ruusulokki|Gabbiano polare di Ross|ヒメクビワカモメ|Ross’ Meeuw|Rosenmåke|mewa różowa|Gaivota-rósea|Розовая чайка|čajka ružová|Rosenmås|楔尾鸥
Leucophaeus atricilla|Aztekenmöwe|Gaviota Guanaguanare|Hláturmáfur|Lattermåge|racek atlantický|nokisiipilokki|Gabbiano sghignazzante|ワライカモメ|Lachmeeuw|Lattermåke|mewa karaibska|Guincho-americano|Ацтекская чайка|čajka aztécka|Sotvingad mås|笑鸥
Leucophaeus pipixcan|Präriemöwe|Gaviota Pipizcan|Sléttumáfur|Præriemåge|racek vnitrozemský|preerianaurulokki|Gabbiano di Franklin|アメリカズグロカモメ|Franklins Meeuw|Franklinmåke|mewa preriowa|Gaivota de Franklin|Франклинова чайка|čajka prériová|Präriemås|弗氏鸥
Ichthyaetus melanocephalus|Schwarzkopfmöwe|Gaviota Cabecinegra|Lónamáfur|Sorthovedet Måge|racek černohlavý|mustanmerenlokki|Gabbiano corallino|ニシズグロカモメ|Zwartkopmeeuw|Svartehavsmåke|mewa czarnogłowa|Gaivota-de-cabeça-preta|Черноголовая чайка|čajka čiernohlavá|Svarthuvad mås|地中海鸥
Ichthyaetus relictus|Reliktmöwe|Gaviota Relicta||Reliktmåge|racek reliktní|mongolianlokki|Gabbiano relitto|ゴビズキンカモメ|Relictmeeuw|Mongolhettemåke|mewa reliktowa||Реликтовая чайка|čajka reliktná|Reliktmås|遗鸥
Ichthyaetus leucophthalmus|Weißaugenmöwe|Gaviota Ojiblanca|Sandmáfur|Rødehavsmåge|racek bělooký|valkosilmälokki|Gabbiano occhibianchi|メジロカモメ|Witoogmeeuw|Rødehavsmåke|mewa bialooka||Белоглазая чайка|čajka bielooká|Vitögd mås|白眼鸥
Ichthyaetus ichthyaetus|Fischmöwe|Gavión Cabecinegro|Fiskimáfur|Stor Sorthovedet Måge|racek velký|mustapäälokki|Gabbiano del Pallas|オオズグロカモメ|Reuzenzwartkopmeeuw|Steppemåke|orlica|Alcatraz-de-cabeça-preta|Черноголовый хохотун|čajka orlia|Svarthuvad trut|渔鸥
Ichthyaetus audouinii|Korallenmöwe|Gaviota de Audouin|Kóralmáfur|Audouinsmåge|racek zelenonohý|välimerenlokki|Gabbiano corso|アカハシカモメ|Audouins Meeuw|Middelhavsmåke|mewa sródziemnomorska LRcd|Gaivota de Audouin|Чайка Одуэна|čajka ostrovná|Rödnäbbad trut|地中海鸥
Larus canus|Sturmmöwe|Gaviota Cana|Stormmáfur|Stormmåge|racek bouřní|kalalokki|Gavina|カモメ|Stormmeeuw|Fiskemåke|mewa pospolita|Gaivota-parda|Сизая чайка|čajka sivá|Fiskmås|海鸥
Larus delawarensis|Ringschnabelmöwe|Gaviota de Delaware|Hringmáfur|Ringnæbbet Måge|racek delawarský|rengasnokkalokki|Gabbiano di Delaware|クロワカモメ|Ringsnavelmeeuw|Ringnebbmåke|mewa delawarska|Gaivota de Delaware|Делавэрская чайка|čajka obrúčkozobá|Ringnäbbad mås|环嘴鸥
Larus argentatus|Silbermöwe|Gaviota Argéntea|Silfurmáfur|Sølvmåge|Racek stríbritý|harmaalokki|Gabbiano reale nordico|セグロカモメ|Zilvermeeuw|Gråmåke|mewa srebrzysta|Gaivota-argêntea|Серебристая чайка|čajka striebristá|Gråtrut|银鸥
Larus michahellis|Mittelmeermöwe|Gaviota Patiamarilla||Middelhavsmåge|Racek středomořský|etelänharmaalokki|Gabbiano reale|キアシセグロカモメ|Geelpootmeeuw|Gulbeinmåke|mewa romańska|Gaivota-de-patas-amarelas|Средиземноморская чайка|čajka žltonohá|Medelhavstrut|黃腳銀鷗
Larus cachinnans|Weisskopfmöwe|Gaviota Patiamarilla|Klapparmáfur|Kaspisk Måge|racek bělohlavý|aroharmaalokki|Gabbiano reale|キアシセグロカモメ|Pontische Meeuw|Kaspimåke|mewa białogłowa|Gaivota-de-patas-amarelas|Хохотунья|čajka bielohlavá|Kaspisk trut|黄腿鸥
Larus armenicus|Armenienmöwe|Gaviota Armenia|Leirumáfur|Armensk Måge|racek arménský|armenianlokki|Gabbiano di Armenia|アメリカセグロカモメ|Armeense Meeuw|Armenermåke|mewa armenska||Армянская чайка|čajka arménska|Armenisk trut|亚美尼亚鸥
Larus thayeri|Thayermöwe|Gaviota Esquimal||Inuitmåge|racek kanadský|eskimolokki|Gabbiano di Thayer|カナダカモメ|Thayers Meeuw|Eskimomåke|mewa arktyczna||Чайка Тэйра|čajka eskimácka|Thayertrut|泰氏银鸥
Larus glaucoides|Polarmöwe|Gaviota Groenlandesa|Bjartmáfur|Hvidvinget Måge|racek polární|grönlanninlokki|Gabbiano islandico|アイスランドカモメ|Kleine Burgemeester|Grønlandsmåke|mewa polarna|Gaivota-polar|Полярная чайка|čajka bielokrídla|Vitvingad trut|冰岛鸥
Larus fuscus|Heringsmöwe|Gaviota Sombría|Sílamáfur|Baltisk Sildemåge|racek žlutonohý|selkälokki|Zafferano|ニシセグロカモメ|Kleine Mantelmeeuw|Sildemåke|mewa żółtonoga|Gaivota-d'asa-escura|Клуша|čajka tmavá|Silltrut|小黑背鸥
Larus schistisagus|Kamtschatkamöwe|Gaviota de Kamchatka||Skifermåge|racek kamčatský|ohotanlokki|Gabbiano dorsoardesia|オオセグロカモメ|Kamtsjatkameeuw|Skifermåke|mewa ochocka||Тихоокеанская чайка|čajka bridlicová|Skiffertrut|灰背鸥
Larus hyperboreus|Eismöwe|Gavión Hiperbóreo|Hvítmáfur|Gråmåge|racek šedý|isolokki|Gabbiano glauco|シロカモメ|Grote Burgemeester|Polarmåke|mewa blada|Gaivota-hiperbórea|Бургомистр|čajka bledá|Vittrut|北极鸥
Larus marinus|Mantelmöwe|Gavión Atlántico|Svartbakur|Svartbag|racek mořský|merilokki|Mugnaiaccio|オオカモメ|Grote Mantelmeeuw|Svartbak|mewa siodłata|Alcatraz-comum|Морская чайка|čajka morská|Havstrut|大黑背鸥
Larus dominicanus|Dominikanermöwe|Gaviota Cocinera||Kelpmåge|racek jižní|etelänselkälokki|Zafferano meridionale|ミナミオオセグロカモメ|Kelpmeeuw|Taremåke|mewa poludniowa|Gaivotño|Доминиканская чайка|čajka vznešená|Dominikanertrut|黑背鸥
Anous stolidus|Noddi|Tiñosa Boba|Brúnþerna|Brun Noddy|nody obecný|ruskotiira|Sterna stolida bruna|クロアジサシ|Noddy|Brunnoddy|rybitwa brunatna|Andorinha-do-mar-preta|Магелланова чайка|nody hnedý|Brun noddy|白顶玄燕鸥
Onychoprion fuscatus|Rußseeschwalbe|Charrán Sombrío|Möttulþerna|Sodfarvet Terne|rybák černohřbetý|nokitiira|Rondine di mare oscura|セグロアジサシ|Bonte Stern|Sotterne|rybitwa czarnogrzbieta|Andorinha-do-mar-escura|Тёмная крачка|rybár čiernochrbtý|Sottärna|乌燕鸥
Onychoprion anaethetus|Zügelseeschwalbe|Charrán Embridado|Taumþerna|Brilleterne|rybák uzdičkový|ohjasnokitiira|Sterna dalle redini|マミジロアジサシ|Brilstern|Tøyleterne|rybitwa brunatnogrzbieta|Gaivina-de-dorso-castanho|Бурокрылая крачка|rybár tmavokrídly|Tygeltärna|褐翅燕鸥
Onychoprion aleuticus|Aleutenseeschwalbe|Charrán Aleutiano|Hrímþerna|Beringsterne|rybák aleutský|aleuttientiira|Sterna aleutina|コシジロアジサシ|Aleoetenstern|Beringterne|rybitwa aleucka||Алеутская крачка|rybár aleutský|Beringtärna|白腰燕鸥
Sternula albifrons|Zwergseeschwalbe|Charrancito Común|Dvergþerna|Dværgterne|rybák malý|pikkutiira|Fraticello|コアジサシ|Dwergstern|Dvergterne|rybitwa białoczelna|Andorinha-do-mar-anã|Малая крачка|rybár malý|Småtärna|白额燕鸥
Sternula antillarum|Amerikanische Zwergseeschwalbe|Charrancito Americano|Rindilþerna|Lille Terne|rybák nejmenší|amerikanpikkutiira|Fraticello americano|アメリカコアジサシ|Amerikaanse Dwergstern|Amerikadvergterne|rybitwa mala|Trinta-réis-miudo|Калифорнийская крачка|rybár krpatý|Amerikansk småtärna|小白额燕鸥
Sternula saundersi|Orientseeschwalbe|Charrancito de Saunders|Stúfþerna|Persisk Dværgterne|rybák arabský|arabianpikkutiira|Fraticello di Saunders|アラビアコアジサシ|Saunders’ Dwergstern|Araberdvergterne|rybitwa malutka||Мекранская крачка|rybár hnedonohý|Persisk småtärna|桑氏白额燕鸥
Gelochelidon nilotica|Lachseeschwalbe|Pagaza Piconegra|Sandþerna|Sandterne|rybák černozobý|hietatiira|Sterna zampenere|ハシブトアジサシ|Lachstern|Sandterne|rybitwa krótkodzioba|Gaivina-de-bico-preto|Чайконосая крачка|rybárka krátkozobá|Sandtärna|鸥嘴噪鸥
Hydroprogne caspia|Raubseeschwalbe|Pagaza Piquirroja|Ránþerna|Rovterne|rybák velkozobý|räyskä|Sterna maggiore|オニアジサシ|Reuzenstern|Rovterne|rybitwa wielkodzioba|Gaivina-de-bico-vermelho|Чеграва|čegrava veľkozobá|Skräntärna|红嘴巨鸥
Chlidonias niger|Trauerseeschwalbe|Fumarel Común|Kolþerna|Sortterne|rybák černý|mustatiira|Mignattino|ハシグロクロハラアジサシ|Zwarte Stern|Svartterne|rybitwa czarna|Gaivina-preta|Чёрная крачка|čorík čierny|Svarttärna|黑浮鸥
Chlidonias leucopterus|Weißflügel-Seeschwalbe|Fumarel Aliblanco|Tígulþerna|Hvidvinget Terne|rybák bělokřídlý|valkosiipitiira|Mignattino alibianche|ハジロクロハラアジサシ|Witvleugelstern|Hvitvingesvartterne|rybitwa białoskrzydła|Gaivina-d'asa-branca|Белокрылая крачка|čorík bielokrídly|Vitvingad tärna|白翅浮鸥
Chlidonias hybrida|Weißbart-Seeschwalbe|Fumarel Cariblanco|Skeggþerna|Hvidskægget Terne|rybák bahenní|valkoposkitiira|Mignattino piombato|クロハラアジサシ|Witwangstern|Hvitkinnsvartterne|rybitwa białowąsa|Gaivina-de-faces-brancas|Белощёкая крачка|čorík bahenný|Skäggtärna|须浮鸥
