|Latin Name|Greek name|English Name
199|Larus minutus                     |Νανόγλαρος                 |Little Gull
200|Larus ridibundus                  |Καστανοκέφαλος Γλάρος       |Black-headed Gull
201|Larus genei                       |Λεπτόραμφος Γλάρος          |Slender-billed Gull
202|Larus audouinii                   |Αιγαιόγλαρος                |Audouin's Gull
203|Larus canus                       |Θυελλόγλαρος                |Mew Gull
204|Larus fuscus                      |Μελανόγλαρος                |Lesser Black-backed Gull
205|Larus argentatus                  |Ασημόγλαρος του Βορά                |Herring Gull
206|Larus michahellis|Ασημόγλαρος της Μεσογείου   |Yellow-legged Gull
207|Larus cachinnans                  |Ασημόγλαρος της Κασπίας   |Caspian Gull
208|Larus armenicus|Ασημόγλαρος της Αρμενίας           |Armenian Gull
209|Larus glaucoides                  |Παγόγλαρος          |Iceland Gull
210|Larus marinus                     |Γιγαντόγλαρος               |Greater Black-backed Gull
211|Rissa tridactyla                  |Τριδάκτυλος Γλάρος         |Black-legged Kittiwake
|Sternidae||
212|Sterna nilotica                   |Γελογλάρονο                |Gull-billed Tern
213|Sterna caspia                     |Καρατζάς                    |Caspian Tern
214|Sterna bengalensis                |Πορτοκαλόραμφο Γλαρόνι               |Lesser Crested Tern
215|Sterna sandvicensis               |Χειμωνογλάρονο              |Sandwich Tern
216|Sterna hirundo                    |Ποταμογλάρονο               |Common Tern
217|Sterna paradisaea                 |Χιονογλάρονο                |Arctic Tern
218|Sterna anaethetus                 |Σταχτογλάρονο               |Bridled Tern
219|Sterna albifrons                  |(Ευρωπαϊκό) Νανογλάρονο                 |Little Tern
220|Chlidonias hybrida             |Μουστακογλάρονο            |Whiskered Tern
221|Chlidonias niger                  |Μαυρογλάρονο               |Black Tern
222|Chlidonias leucopterus            |Αργυρογλάρονο               |White-winged Tern
|PTEROCLIDIFORMES||
|Pteroclidae||
223|Pterocles orientalis|Μαυροπεριστερόκοτα         |Black-bellied Sandgrouse
224|Pterocles alchata                 |Βελονόουρη Περιστερόκοτα               |Pin-tailed Sandgrouse
225|Syrrhaptes paradoxus              |Περιστερόκοτα της Στέπας    |Pallas's Sandgrouse
|COLUMBIFORMES||
|Columbidae||
226|Columba livia                     |Αγριοπερίστερο              |Rock Pigeon
227|Columba oenas                     |Φασσοπερίστερο              |Stock Pigeon
228|Columba palumbus                  |(Κοινή) Φάσσα                       |Common Woodpigeon
229|Streptopelia decaocto             |(Ευρασιατική) Δεκαοχτούρα                 |Eurasian Collared Dove
230|Streptopelia turtur               |(Ευρωπαϊκό) Τρυγόνι                     |European Turtle Dove
231|Streptopelia orientalis           |Ελατοτρύγονο|Oriental Turtle Dove
232|Streptopelia senegalensis         |Φοινικοτρύγονο            |Laughing Dove
|PSITTACIFORMES||
|Psittacidae||
233|Psittacula krameri |Πράσινος Παπαγάλος|Rose-ringed Parakeet
|CUCULIFORMES||
